,Alpha,CMA,HML,Mkt-RF,RMW,SMB,STR,WML,Weight,fund,model,Name
0,0.000436854326655291,0.9038696655920441,-0.46629861675865314,0.9044830693415327,0.6017043070639947,0.1734649801043946,0.19038014939313885,0.08358314849711124,0.025175,BRAGX,full,HCA HEALTHCARE INC ORD
0,0.0005703583504396649,,-0.21019500327526766,0.7888608078481978,,0.13097044361106513,,,0.025175,BRAGX,ff3,HCA HEALTHCARE INC ORD
0,0.0004851137528551935,0.8357284518270738,-0.48671634894614213,0.9270603816096811,0.5704070502478966,0.16877863522265404,,,0.025175,BRAGX,ff5,HCA HEALTHCARE INC ORD
0,0.0005740992490088955,,-0.2310165282779648,0.7890296655756404,,0.12109677634815419,,-0.03472632303583616,0.025175,BRAGX,carhart,HCA HEALTHCARE INC ORD
0,0.0006127092248084893,,,0.8333588360874467,,,,,0.025175,BRAGX,capm,HCA HEALTHCARE INC ORD
1,-0.000324394046891062,-1.0754769412193914,-0.16096598646131483,1.4292950156629893,-0.0362648247997477,-0.006361535914877675,0.12673327373820362,-0.2451736869705192,0.024722,BRAGX,full,APPLIED MATERIALS INC ORD
1,-0.0003807139053792108,,-0.3840729374314469,1.577894998227903,,0.06249321107835036,,,0.024722,BRAGX,ff3,APPLIED MATERIALS INC ORD
1,-0.00033256328173725394,-1.0491814002568556,-0.017712801385053004,1.455212288081435,-0.0011392893679801203,0.07993053347168838,,,0.024722,BRAGX,ff5,APPLIED MATERIALS INC ORD
1,-0.00035949690984734027,,-0.5021649398690388,1.5788526969151098,,0.006493415754587117,,-0.19695488318292423,0.024722,BRAGX,carhart,APPLIED MATERIALS INC ORD
1,-0.00026747202157351196,,,1.651831813007454,,,,,0.024722,BRAGX,capm,APPLIED MATERIALS INC ORD
2,0.0004297027188067656,1.1887051843070484,-0.6187456891975097,0.5429775725213037,0.7323664586989531,-0.20987272067229132,0.05999864849708933,-0.20733341104429898,0.024275,BRAGX,full,CHURCH & DWIGHT CO INC ORD
2,0.0005326907734470941,,-0.09687165558304456,0.36120949433845767,,-0.1909822601075662,,,0.024275,BRAGX,ff3,CHURCH & DWIGHT CO INC ORD
2,0.0004136103861729592,1.2228934867665666,-0.503341814714588,0.5585506600106485,0.7659730306267456,-0.14189383113016868,,,0.024275,BRAGX,ff5,CHURCH & DWIGHT CO INC ORD
2,0.0005687720461192441,,-0.29769696725283035,0.3628381409307242,,-0.2862145884380327,,-0.33493822599036605,0.024275,BRAGX,carhart,CHURCH & DWIGHT CO INC ORD
2,0.0006031789656578456,,,0.37123953357609707,,,,,0.024275,BRAGX,capm,CHURCH & DWIGHT CO INC ORD
3,0.0008832043605830869,-0.6149476725343112,-0.5360037657161905,0.9086628786676723,-0.22155526987757596,0.01894178149295858,-0.01772348493588284,0.08169150766646137,0.022786,BRAGX,full,CADENCE DESIGN SYSTEMS INC ORD
3,0.0008424715436171939,,-0.7944085507321382,0.9936539424947844,,0.0036113276148485585,,,0.022786,BRAGX,ff3,CADENCE DESIGN SYSTEMS INC ORD
3,0.0008906967511273383,-0.6299171343208587,-0.5807542386311644,0.903322594117475,-0.23528603550993127,-0.007216158485827712,,,0.022786,BRAGX,ff5,CADENCE DESIGN SYSTEMS INC ORD
3,0.0008279463387376102,,-0.7135624890217065,0.9929982997284025,,0.041948918773141664,,0.13483577474598596,0.022786,BRAGX,carhart,CADENCE DESIGN SYSTEMS INC ORD
3,0.0011021791889864311,,,1.1413454855580607,,,,,0.022786,BRAGX,capm,CADENCE DESIGN SYSTEMS INC ORD
4,0.00027358258627699497,1.3138877480751319,-0.3950233779054403,0.8114601140811495,0.03458037970196699,-0.3379482955038824,0.0020177298592383847,-0.006935779577977905,0.022639,BRAGX,full,MERCK & CO INC ORD
4,0.00033621973786816654,,0.06710784080890905,0.6557776765080747,,-0.31692891086987296,,,0.022639,BRAGX,ff3,MERCK & CO INC ORD
4,0.00027304633154935084,1.3150287306478747,-0.39116155865167623,0.811982500167701,0.035703716937056235,-0.33567311901925206,,,0.022639,BRAGX,ff5,MERCK & CO INC ORD
4,0.0003453494121721519,,0.016292845889258598,0.656189774304034,,-0.34102562577131035,,-0.08474969669203253,0.022639,BRAGX,carhart,MERCK & CO INC ORD
4,0.0003784896266432402,,,0.6301024561734399,,,,,0.022639,BRAGX,capm,MERCK & CO INC ORD
5,0.00020363598173970686,-1.9551272835739777,-0.17243077627114645,1.4547748912164238,-0.4292494327755691,0.4390763309341558,0.1729091231141942,-0.48501297721975983,0.021263999999999998,BRAGX,full,MICRON TECHNOLOGY INC ORD
5,5.697037358952178e-05,,-0.5467245994519568,1.7407789366750552,,0.6021322019108041,,,0.021263999999999998,BRAGX,ff3,MICRON TECHNOLOGY INC ORD
5,0.00017232913823872324,-1.8833984106989456,0.10149316283721581,1.495582885005251,-0.35332689565535597,0.6015455542167959,,,0.021263999999999998,BRAGX,ff5,MICRON TECHNOLOGY INC ORD
5,9.621403531405448e-05,,-0.7651515010878911,1.742550328070148,,0.4985531149927015,,-0.3642943129738906,0.021263999999999998,BRAGX,carhart,MICRON TECHNOLOGY INC ORD
5,0.0001141017864777696,,,1.867419791111587,,,,,0.021263999999999998,BRAGX,capm,MICRON TECHNOLOGY INC ORD
6,0.0009751269647356141,-0.9646974253372642,-0.09648604664697279,1.3087800649899841,0.2654720190790112,0.4254366952817158,0.09512484135161178,-0.41447223170064734,0.019818,BRAGX,full,XILINX INC ORD
6,0.0009249157655024933,,-0.18862539749560586,1.416793922515355,,0.5134386575786438,,,0.019818,BRAGX,ff3,XILINX INC ORD
6,0.0009381261921742032,-0.8900659646468113,0.13119412105678363,1.3365743146058287,0.33470644449772397,0.5587031592637234,,,0.019818,BRAGX,ff5,XILINX INC ORD
6,0.0009669423032930292,,-0.42254155191880055,1.4186909281498035,,0.40251449251892024,,-0.3901274253806164,0.019818,BRAGX,carhart,XILINX INC ORD
6,0.0008826337751335785,,,1.4732297163670984,,,,,0.019818,BRAGX,capm,XILINX INC ORD
7,0.0017742383160260933,0.16793925859682227,0.025177877758946296,0.7875009552297672,0.11672693242277155,1.3304553139684376,-0.007358729725488372,0.592426860790095,0.019446,BRAGX,full,ENSIGN GROUP INC ORD
7,0.001854063593037083,,-0.2747851409265275,0.7612102497493336,,1.1534199941948244,,,0.019446,BRAGX,ff3,ENSIGN GROUP INC ORD
7,0.0018521629174993682,0.028682899048115773,-0.2846101185070272,0.7650685856954367,0.0071279127758032135,1.1535875155513633,,,0.019446,BRAGX,ff5,ENSIGN GROUP INC ORD
7,0.001792074953412597,,0.07023838376241848,0.7584121891708926,,1.3170318084214072,,0.5754332774260795,0.019446,BRAGX,carhart,ENSIGN GROUP INC ORD
7,0.0017102453009474768,,,0.8603265951161537,,,,,0.019446,BRAGX,capm,ENSIGN GROUP INC ORD
8,0.0018962793754632409,-0.3038944185154395,-0.1844758948090728,1.078314464111241,0.86646768755125,0.844637211037307,-0.14151921970285558,0.0328888459105051,0.019165,BRAGX,full,LULULEMON ATHLETICA INC ORD
8,0.0019322989334977438,,-0.3386168821287136,1.0283497250575433,,0.7361020128964997,,,0.019165,BRAGX,ff3,LULULEMON ATHLETICA INC ORD
8,0.0018731339445610907,-0.27587619672642194,-0.21884222872745468,1.0580923594693095,0.8720561021609323,0.8198776230017175,,,0.019165,BRAGX,ff5,LULULEMON ATHLETICA INC ORD
8,0.001931628171341873,,-0.334883476706482,1.028319448007465,,0.7378724116973507,,0.006226606490127726,0.019165,BRAGX,carhart,LULULEMON ATHLETICA INC ORD
8,0.0018940360333290617,,,1.1219246464981998,,,,,0.019165,BRAGX,capm,LULULEMON ATHLETICA INC ORD
9,0.001221252959468875,-0.7587737466288809,0.9214055526546029,0.9805447108897268,0.32968043745150205,0.6395046361588882,-0.06052855201707335,0.17249616906635093,0.018394999999999998,BRAGX,full,CREDIT ACCEPTANCE CORP ORD
9,0.0012215555367971849,,0.5419998002437516,1.036330475662765,,0.5412390235211763,,,0.018394999999999998,BRAGX,ff3,CREDIT ACCEPTANCE CORP ORD
9,0.0012325755864650068,-0.784529304404087,0.8241014231623612,0.9661612874048418,0.3025983880835367,0.5818244098852796,,,0.018394999999999998,BRAGX,ff5,CREDIT ACCEPTANCE CORP ORD
9,0.0012000161954669058,,0.6618859521304232,1.0353582268406085,,0.5980896131396832,,0.1999471814576778,0.018394999999999998,BRAGX,carhart,CREDIT ACCEPTANCE CORP ORD
9,0.000934106686356601,,,0.9582302912195573,,,,,0.018394999999999998,BRAGX,capm,CREDIT ACCEPTANCE CORP ORD
10,-2.1796373741284265e-05,-1.2425136107034027,-0.32448873389264676,1.0715585238640895,0.16373250293985211,-0.2928711568626606,0.00156352953289721,-0.1248170880373278,0.017449,BRAGX,full,APPLE INC ORD
10,-7.839793549953083e-05,,-0.6878997103404593,1.20477381167217,,-0.2928477490090532,,,0.017449,BRAGX,ff3,APPLE INC ORD
10,-3.821157627195639e-05,-1.2131773279936133,-0.2592185968948096,1.0762865159912263,0.18682258828094597,-0.2556058859150935,,,0.017449,BRAGX,ff5,APPLE INC ORD
10,-7.132519439075389e-05,,-0.7272659890857871,1.2050930630414114,,-0.31151542765699186,,-0.06565542688405127,0.017449,BRAGX,carhart,APPLE INC ORD
10,0.00020651120411550644,,,1.3203257259923318,,,,,0.017449,BRAGX,capm,APPLE INC ORD
11,0.0021365883713618033,-0.21534581030463507,0.18995830051518187,1.059083464980712,0.39493316041615917,0.9683153425974054,-0.00045946942208716784,0.702064041747732,0.017431000000000002,BRAGX,full,INSPERITY INC ORD
11,0.0022347906725304787,,-0.3168229273336442,1.0595140688804632,,0.7291972585285549,,,0.017431000000000002,BRAGX,ff3,INSPERITY INC ORD
11,0.002230542322382092,-0.3824664524095457,-0.17615536507754348,1.0336106243246954,0.2643678844100198,0.7595902723528134,,,0.017431000000000002,BRAGX,ff5,INSPERITY INC ORD
11,0.002160858864201199,,0.09467526412409993,1.056176914207733,,0.9243316793366911,,0.686300312939272,0.017431000000000002,BRAGX,carhart,INSPERITY INC ORD
11,0.0021907830404579005,,,1.1487534874358145,,,,,0.017431000000000002,BRAGX,capm,INSPERITY INC ORD
12,0.001342494766472152,0.11775353777646126,0.37642397299924163,0.6874646247625611,0.2986117487109958,0.0283276299691608,-0.2967402438130109,0.1798654899684018,0.017094,BRAGX,full,ERIE INDEMNITY CO ORD
12,0.0013395457995992908,,0.29116563737965995,0.6029204283932974,,-0.08034192935930387,,,0.017094,BRAGX,ff3,ERIE INDEMNITY CO ORD
12,0.001308818808359437,0.15008461856429406,0.24653863386179017,0.641048395613751,0.2896985298938724,-0.05655291197337528,,,0.017094,BRAGX,ff5,ERIE INDEMNITY CO ORD
12,0.0013191916675349003,,0.4044550147460476,0.6020016778789643,,-0.026619561934574675,,0.18894502273221053,0.017094,BRAGX,carhart,ERIE INDEMNITY CO ORD
12,0.0012603823484744492,,,0.5454947092540008,,,,,0.017094,BRAGX,capm,ERIE INDEMNITY CO ORD
13,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016372,BRAGX,full,FIAT CHRYSLER AUTOMOBILES NV ORD
13,0.0,,0.0,1.0,,0.0,,,0.016372,BRAGX,ff3,FIAT CHRYSLER AUTOMOBILES NV ORD
13,0.0,0.0,0.0,1.0,0.0,0.0,,,0.016372,BRAGX,ff5,FIAT CHRYSLER AUTOMOBILES NV ORD
13,0.0,,0.0,1.0,,0.0,,0.0,0.016372,BRAGX,carhart,FIAT CHRYSLER AUTOMOBILES NV ORD
13,0.0,,,1.0,,,,,0.016372,BRAGX,capm,FIAT CHRYSLER AUTOMOBILES NV ORD
14,3.8968731057738296e-05,-0.000623646755489704,0.24838039160103118,1.8197735792271788,0.45840026602822914,0.8743028244177371,0.261137265355078,-0.34062118091924687,0.015712999999999998,BRAGX,full,UNITED RENTALS INC ORD
14,8.601876044871104e-05,,0.44932592102795355,1.8299942010222052,,0.9580318799880345,,,0.015712999999999998,BRAGX,ff3,UNITED RENTALS INC ORD
14,4.417983131009872e-05,0.014358200470621328,0.45775245156014777,1.8672203868203852,0.5001636021694823,1.0031956056159166,,,0.015712999999999998,BRAGX,ff5,UNITED RENTALS INC ORD
14,0.00012974077242286784,,0.20597290071464852,1.8319677374452568,,0.8426327077522472,,-0.40586631354098834,0.015712999999999998,BRAGX,carhart,UNITED RENTALS INC ORD
14,-0.0002555699727090964,,,1.7864804520796769,,,,,0.015712999999999998,BRAGX,capm,UNITED RENTALS INC ORD
15,0.00015683880173924462,0.5514154154411239,-0.31483472997945594,0.9144208383078832,-0.41605828835855424,-0.25537551838150574,0.11217172169753045,-0.4051958079133988,0.015243,BRAGX,full,CHARTER COMMUNICATIONS INC ORD
