Date,Mkt-RF,SMB,HML,RMW,CMA,RF,WML,STR,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other,BRAGX,BRSVX,BRUSX,BRLIX,BOSVX,BOTSX
1994-08-05,-0.0032,0.0011,-0.0008,0.0023,0.0005,0.00016,0.0009,0.002,-0.0006,-0.0032,-0.0032,-0.0034999999999999996,0.0006,-0.0031,-0.0022,-0.002,-0.0098,-0.004,4.494213581085205,,1.5880210399627686,,,
1994-08-08,0.002,-0.0009,0.0006,0.0016,0.0008,0.00016,0.0003,0.0029,0.0034000000000000002,0.0024,0.0011,0.003,0.0077,0.0012,0.0014000000000000002,0.0013,0.0016,0.0008,4.517143726348877,,1.5880210399627686,,,
1994-08-09,0.0009,0.0003,-0.0004,-0.0006,-0.0019,0.00016,0.0037,0.0024,0.0007000000000000001,-0.0004,0.0009,-0.0004,0.008199999999999999,-0.003,0.0001,0.0058,-0.0052,0.0013,4.535487651824951,,1.594199776649475,,,
1994-08-10,0.0055000000000000005,0.0007000000000000001,-0.0078000000000000005,0.0028000000000000004,-0.0034999999999999996,0.00016,0.0043,0.0004,0.0042,0.0031,0.0026,0.0040999999999999995,0.0128,0.0034999999999999996,0.0033,0.0213,0.0018,0.0036,4.540072917938232,,1.6297296285629272,,,
1994-08-11,-0.0026,0.0023,-0.0025,0.0018,-0.0016,0.00016,0.0027,0.0039000000000000003,-0.0033,-0.0054,-0.0052,-0.009000000000000001,0.0017000000000000001,-0.0007000000000000001,0.0040999999999999995,-0.0002,-0.0086,-0.0018,4.512557506561279,,1.6173715591430664,,,
1994-08-12,0.0055000000000000005,-0.0022,-0.003,-0.001,-0.0003,0.00016,-0.001,0.0028000000000000004,0.0132,0.0046,0.0045000000000000005,0.011000000000000001,0.0,0.0058,0.0038,0.01,0.0021,0.0051,4.5767598152160645,,1.6312742233276367,,,
1994-08-15,-0.0002,0.003,0.0006,0.0003,-0.0012,0.00016,0.0005,0.0028000000000000004,-0.0002,0.0008,-0.0002,-0.005600000000000001,0.0001,-0.0007000000000000001,-0.0018,0.0088,-0.0028000000000000004,0.0002,4.558416366577148,,1.6173715591430664,,,
1994-08-16,0.006,-0.0049,-0.0026,0.004699999999999999,-0.0046,0.00016,-0.0002,0.0026,0.0083,0.013999999999999999,0.0045000000000000005,-0.0023,0.0139,-0.0012,0.0097,0.0139,0.0069,0.0034000000000000002,4.590518474578857,,1.6173715591430664,,,
1994-08-17,0.0017000000000000001,0.0037,-0.005,0.0022,-0.0043,0.00016,0.0003,0.0004,0.003,0.006,-0.0042,-0.002,0.0108,-0.0038,0.005,0.011699999999999999,-0.005600000000000001,0.0016,4.62261962890625,,1.6096476316452026,,,
1994-08-18,-0.0034999999999999996,0.0045000000000000005,-0.0028000000000000004,0.0004,0.0013,0.00016,0.0011,0.0011,0.009000000000000001,-0.015700000000000002,-0.005,-0.0037,-0.0019,-0.006999999999999999,-0.0008,-0.0051,-0.0066,-0.0038,4.599689960479736,,1.62663996219635,,,
1994-08-19,0.0012,0.0011,-0.0007000000000000001,-0.0006,-0.0008,0.00016,-0.0005,0.0028000000000000004,-0.0009,-0.0012,0.0017000000000000001,0.0011,0.0022,0.0001,0.0012,0.004699999999999999,0.0034999999999999996,0.001,4.567587852478027,,1.6281850337982178,,,
1994-08-22,-0.002,0.003,-0.0034000000000000002,0.0015,-0.0021,0.00016,0.0022,-0.0012,-0.0015,-0.0078000000000000005,-0.0003,-0.0023,-0.0015,-0.0075,-0.0022,0.0008,-0.0043,-0.0003,4.553831100463867,,1.6250956058502197,,,
1994-08-23,0.0054,0.001,-0.0036,-0.0012,-0.002,0.00016,-0.0026,0.0026,0.005600000000000001,0.0078000000000000005,0.0079,-0.0008,0.0051,0.0044,0.0075,0.0027,0.0044,0.0067,4.604275703430176,,1.6420875787734985,,,
1994-08-24,0.0070999999999999995,-0.004,0.0,-0.0022,0.002,0.00016,0.0002,0.0060999999999999995,0.0058,0.023,0.011200000000000002,0.0097,0.0044,0.0070999999999999995,0.0108,0.0005,0.0018,0.005699999999999999,4.608861446380615,,1.6312742233276367,,,
1994-08-25,-0.0007000000000000001,0.0027,-0.0006,-0.0023,-0.0007000000000000001,0.00016,0.0,0.0018,-0.0023,-0.008100000000000001,0.001,-0.0062,0.0129,-0.0025,-0.002,-0.0029,-0.0033,-0.0015,4.640962600708008,,1.6389981508255005,,,
1994-08-26,0.0108,-0.006,-0.0029,0.0003,-0.0040999999999999995,0.00016,0.0003,0.0019,0.0109,0.0169,0.0132,0.006999999999999999,0.0141,0.0104,0.013600000000000001,0.0105,0.0089,0.0077,4.6959943771362305,,1.668349027633667,,,
1994-08-29,0.0017000000000000001,0.0002,-0.0003,-0.0002,0.0031,0.00016,0.0006,0.005,-0.0032,0.0015,0.0043,0.002,-0.0018,0.0068000000000000005,-0.0005,0.0023,0.0015,0.0026,4.6730637550354,,1.672982931137085,,,
1994-08-30,0.0034999999999999996,-0.0004,0.002,-0.0017000000000000001,-0.0002,0.00016,0.0001,0.0029,0.0001,0.0072,0.005699999999999999,0.0034999999999999996,0.0102,-0.0009,0.0044,0.0027,0.003,0.0023,4.737268924713135,,1.6884310245513916,,,
1994-08-31,-0.001,0.0060999999999999995,0.0004,0.0002,0.0022,0.00016,0.0003,0.0021,0.0063,-0.0204,0.0011,0.0007000000000000001,-0.011699999999999999,-0.0034999999999999996,0.0012,0.0017000000000000001,-0.0023,0.0018,4.723509788513184,,1.6807068586349487,,,
1994-09-01,-0.0049,0.001,0.0009,0.0007000000000000001,0.0034000000000000002,0.00017,0.0003,0.005,-0.0034000000000000002,0.0019,-0.0021,-0.0024,-0.0149,-0.0053,-0.0060999999999999995,0.0003,-0.0128,-0.0033,4.677649974822998,,1.672982931137085,,,
1994-09-02,-0.0032,0.0051,-0.0002,0.0,-0.0006,0.00017,0.0005,0.0018,-0.0036,-0.0052,-0.005,-0.0023,-0.003,0.0004,-0.0017000000000000001,-0.0040999999999999995,-0.0067,-0.0016,4.6501359939575195,,1.6776174306869507,,,
1994-09-06,0.0003,-0.0025,0.0012,-0.0009,0.0025,0.00017,0.0002,0.0016,-0.002,0.0171,-0.001,0.0007000000000000001,0.0025,0.0024,0.0036,-0.0014000000000000002,-0.0087,-0.0001,4.654720783233643,,1.7038788795471191,,,
1994-09-07,-0.0002,0.0037,-0.0022,-0.0018,-0.0014000000000000002,0.00017,0.001,0.0011,-0.002,-0.0034000000000000002,-0.0031,0.0098,0.0098,-0.005,-0.0003,-0.0004,-0.0034999999999999996,-0.0007000000000000001,4.68682336807251,,1.7007895708084106,,,
1994-09-08,0.0046,0.0004,-0.0036,0.0001,-0.0012,0.00017,-0.0002,-0.0022,0.0055000000000000005,-0.0032,0.005,0.0067,0.0086,0.0018,0.0123,0.0051,0.0024,0.0018,4.691408634185791,,1.6853410005569458,,,
1994-09-09,-0.009300000000000001,0.006,0.0008,0.0,0.0015,0.00017,0.0009,0.0039000000000000003,-0.0086,-0.011899999999999999,-0.0073,-0.0078000000000000005,-0.0118,-0.0104,-0.0095,-0.0063,-0.0125,-0.0088,4.668478965759277,,1.669893503189087,,,
1994-09-12,-0.0044,0.0014000000000000002,0.0,0.0016,0.001,0.00017,0.001,0.0033,-0.0014000000000000002,-0.006500000000000001,-0.0044,-0.002,-0.0070999999999999995,-0.005699999999999999,-0.0011,-0.0014000000000000002,-0.0096,-0.0046,4.627205848693848,,1.6529011726379395,,,
1994-09-13,0.003,0.0023,-0.0036,0.0016,-0.0022,0.00017,0.0021,0.0028000000000000004,0.0006,-0.0016,0.0036,-0.0017000000000000001,0.0126,0.0037,0.005,0.0029,0.0001,0.0014000000000000002,4.663893222808838,,1.672982931137085,,,
1994-09-14,0.0026,-0.0004,0.0008,-0.0013,0.0002,0.00017,0.0014000000000000002,0.002,0.0076,0.0046,0.0028000000000000004,-0.002,0.0060999999999999995,0.0072,0.0001,0.0017000000000000001,-0.0025,0.0015,4.68682336807251,,1.6637146472930908,,,
1994-09-15,0.011399999999999999,-0.0036,-0.0049,0.0015,-0.0006,0.00017,0.0002,0.0007000000000000001,0.0132,0.0121,0.0151,0.0068000000000000005,0.0173,0.0187,0.0092,0.009399999999999999,0.009000000000000001,0.006500000000000001,4.792299270629883,,1.6961543560028076,,,
1994-09-16,-0.0052,0.0062,0.0011,-0.0012,-0.0019,0.00017,0.0034000000000000002,0.0006,-0.006999999999999999,-0.012,-0.0015,-0.0068000000000000005,-0.0014000000000000002,-0.0078000000000000005,-0.0058,-0.0051,-0.0095,-0.0046,4.787712574005127,,1.7270501852035522,,,
1994-09-19,-0.0013,-0.0009,-0.0018,0.0002,0.0004,0.00017,0.0007000000000000001,0.0003,0.004699999999999999,-0.005699999999999999,-0.001,-0.0073,-0.0021,0.0004,-0.0034000000000000002,0.0062,0.0018,-0.0039000000000000003,4.80147123336792,,1.7224160432815552,,,
1994-09-20,-0.0144,0.0054,0.0027,0.0004,0.0026,0.00017,-0.0001,0.0023,-0.0125,-0.0103,-0.014199999999999999,-0.0131,-0.0124,-0.0137,-0.0192,-0.0129,-0.009300000000000001,-0.016399999999999998,4.7143378257751465,,1.6498117446899414,,,
1994-09-21,-0.0055000000000000005,-0.0019,0.0003,0.0012,-0.0001,0.00017,-0.0016,0.0033,0.0005,-0.0143,-0.0072,-0.006500000000000001,-0.0055000000000000005,-0.0087,-0.009000000000000001,-0.0016,0.0037,-0.0051,4.705166816711426,,1.637453556060791,,,
1994-09-22,-0.001,0.0008,-0.0017000000000000001,-0.0013,0.0015,0.00017,0.0003,0.0004,0.0009,-0.011200000000000002,-0.0029,0.0026,-0.0004,-0.0022,-0.001,0.0031,0.0042,-0.0023,4.705166816711426,,1.6621694564819336,,,
1994-09-23,-0.0033,0.0009,-0.0014000000000000002,-0.0008,0.0021,0.00017,0.0009,0.0003,-0.0044,-0.0178,-0.0013,-0.0012,-0.0074,0.0027,-0.0070999999999999995,0.0001,0.0017000000000000001,-0.0034999999999999996,4.677649974822998,,1.637453556060791,,,
1994-09-26,0.002,-0.0043,-0.0012,0.0031,0.0012,0.00017,0.0005,0.0006,0.0088,0.0008,0.005,0.0013,-0.003,0.0062,-0.0006,0.0013,0.004699999999999999,-0.0002,4.691408634185791,,1.6297296285629272,,,
1994-09-27,0.0016,-0.0016,-0.0016,0.003,0.0008,0.00017,0.001,0.0002,-0.0034000000000000002,0.0168,-0.0005,-0.0024,0.0024,0.0078000000000000005,0.0015,0.011899999999999999,0.0021,-0.0016,4.7143378257751465,,1.6420875787734985,,,
1994-09-28,0.0059,-0.0007000000000000001,-0.0023,-0.0017000000000000001,0.0022,0.00017,0.0005,0.0027,0.005,0.0046,0.0067,0.0073,0.002,0.0091,0.0062,0.0062,0.0077,0.0059,4.723509788513184,,1.6127371788024902,,,
1994-09-29,-0.0037,0.0027,-0.0009,0.0008,-0.0002,0.00017,0.0004,0.0038,-0.0043,-0.0102,-0.0025,-0.0032,0.0014000000000000002,-0.0143,-0.0005,-0.006500000000000001,0.0049,-0.0037,4.7143378257751465,,1.6142820119857788,,,
1994-09-30,0.0021,0.0066,-0.0025,0.001,-0.0015,0.00017,-0.0003,0.0016,0.003,0.0042,-0.0007000000000000001,0.0028000000000000004,0.0025,0.0016,0.004699999999999999,0.0086,0.0049,0.0,4.728096008300781,,1.6220060586929321,,,
1994-10-03,-0.0027,-0.0028000000000000004,-0.0014000000000000002,-0.0024,0.0004,0.00018,0.0006,0.0002,0.0014000000000000002,-0.0076,-0.0037,0.0003,-0.0058,-0.0066,-0.0014000000000000002,0.0062,-0.0026,-0.0036,4.7143378257751465,,1.6111923456192017,,,
1994-10-04,-0.0147,0.0018,0.0040999999999999995,-0.0007000000000000001,0.0034999999999999996,0.00018,-0.0008,0.0014000000000000002,-0.013600000000000001,-0.0171,-0.0129,-0.0141,-0.022099999999999998,-0.0171,-0.0132,-0.013500000000000002,-0.0060999999999999995,-0.0143,4.640962600708008,,1.58647620677948,,,
1994-10-05,-0.0038,-0.0045000000000000005,-0.0006,0.0031,-0.0026,0.00018,0.0005,0.0038,-0.0005,0.005,-0.0046,-0.0022,0.0048,-0.0053,-0.0021,-0.0070999999999999995,-0.0039000000000000003,-0.0077,4.627205848693848,,1.5911102294921875,,,
1994-10-06,-0.0023,0.0040999999999999995,-0.0016,-0.0004,0.0024,0.00018,-0.0012,0.0006,-0.0022,-0.0113,-0.0022,0.002,-0.0053,-0.0017000000000000001,-0.0033,-0.0028000000000000004,-0.0003,0.0,4.654720783233643,,1.6173715591430664,,,
1994-10-07,0.006,-0.0029,-0.001,-0.0009,0.0016,0.00018,0.002,0.0022,0.0006,-0.0003,0.0017000000000000001,0.022799999999999997,0.0159,0.0070999999999999995,0.0043,0.006999999999999999,0.0038,0.0046,4.718924045562744,,1.6189162731170654,,,
1994-10-10,0.0075,-0.0016,-0.0029,-0.0008,-0.0026,0.00018,0.001,0.0042,0.0046,0.0231,0.0063,0.001,0.018000000000000002,0.0052,0.0104,0.005600000000000001,0.0074,0.0058,4.796885967254639,,1.6343638896942139,,,
1994-10-11,0.0128,-0.0063,-0.0068000000000000005,0.0028000000000000004,-0.0043,0.00018,0.002,-0.0002,0.02,0.0262,0.015700000000000002,0.0053,0.0174,0.014499999999999999,0.0109,0.0116,0.012199999999999999,0.0075,4.847329616546631,,1.6328191757202148,,,
1994-10-12,-0.0001,0.0022,0.0,0.0002,-0.0018,0.00018,0.0029,0.0015,-0.0029,-0.0009,0.0026,-0.0042,0.0033,-0.0045000000000000005,-0.0019,0.0025,-0.0018,0.0016,4.879432201385498,,1.6420875787734985,,,
1994-10-13,0.0034999999999999996,-0.0025,0.0003,0.0011,0.0019,0.00018,0.0006,0.0045000000000000005,0.005600000000000001,-0.0013,0.0053,0.005699999999999999,-0.0023,0.0075,0.0069,-0.0006,0.0033,0.0036,4.879432201385498,,1.6498117446899414,,,
1994-10-14,0.0017000000000000001,-0.0038,0.0032,-0.0004,0.0021,0.00018,-0.0015,0.0019,0.0023,0.003,0.0037,0.0045000000000000005,0.0001,0.0043,-0.0026,-0.0003,0.0044,0.0014000000000000002,4.879432201385498,,1.6559906005859375,,,
1994-10-17,-0.0007000000000000001,0.0008,-0.001,0.0016,-0.0005,0.00018,0.0040999999999999995,-0.0004,0.0004,-0.005699999999999999,0.0021,0.0022,-0.0023,-0.0039000000000000003,-0.0001,-0.0008,-0.0025,-0.0003,4.884017467498779,,1.6467221975326538,,,
1994-10-18,-0.002,-0.0019,0.001,-0.0005,0.0014000000000000002,0.00018,0.0012,0.0013,-0.0016,-0.0037,-0.002,0.0004,0.0034000000000000002,-0.0062,-0.0024,-0.005,-0.0032,-0.0009,4.8748459815979,,1.6451771259307861,,,
1994-10-19,0.0049,-0.0014000000000000002,-0.0009,-0.0005,-0.002,0.00018,0.0018,0.0012,0.006,0.006999999999999999,0.0036,-0.0008,0.0146,0.005,0.0042,0.0069,0.0011,0.0037,4.929876804351807,,1.6235507726669312,,,
1994-10-20,-0.0067,0.003,-0.0009,0.0011,-0.0023,0.00018,0.0034999999999999996,0.0022,-0.0072,-0.0264,-0.0089,-0.0017000000000000001,0.0006,-0.009300000000000001,-0.0078000000000000005,-0.0009,-0.006500000000000001,-0.0072,4.893189430236816,,1.6081029176712036,,,
1994-10-21,-0.0040999999999999995,0.0014000000000000002,-0.0014000000000000002,-0.0008,0.0014000000000000002,0.00018,0.0005,-0.0008,-0.0027,-0.013500000000000002,-0.006999999999999999,-0.0007000000000000001,0.0003,-0.0031,-0.0029,-0.004699999999999999,-0.001,-0.0048,4.897775650024414,,1.637453556060791,,,
1994-10-24,-0.0077,0.0038,-0.0021,0.0014000000000000002,-0.0013,0.00018,0.0027,0.0017000000000000001,-0.0063,-0.0049,-0.005,-0.004,-0.006500000000000001,-0.011699999999999999,-0.0088,-0.0088,-0.0087,-0.0087,4.893189430236816,,1.6189162731170654,,,
1994-10-25,-0.0003,-0.004699999999999999,0.0033,0.0015,0.0034999999999999996,0.00018,-0.0028000000000000004,-0.0022,0.006,0.0068000000000000005,-0.0038,0.013300000000000001,-0.0022,-0.0028000000000000004,-0.001,-0.004699999999999999,0.0025,-0.0009,4.879432201385498,,1.6127371788024902,,,
1994-10-26,0.0027,-0.0019,-0.0040999999999999995,0.0013,-0.0021,0.00018,0.0027,-0.0044,0.0064,-0.0016,-0.0007000000000000001,0.0113,0.0126,0.0022,-0.0005,0.0005,-0.0038,0.0015,4.911533832550049,,1.6111923456192017,,,
1994-10-27,0.0063,-0.0015,-0.0034000000000000002,-0.001,-0.0011,0.00018,0.0015,0.0012,0.006999999999999999,-0.0044,0.0054,0.0169,0.0072,0.0026,0.008,0.0077,0.005600000000000001,0.0062,4.934462070465088,,1.6111923456192017,,,
1994-10-28,0.0152,-0.0072,-0.0018,-0.0016,-0.0027,0.00018,-0.0038,0.0004,0.005600000000000001,0.0146,0.015600000000000001,0.0127,0.0196,0.0199,0.0171,0.0108,0.0176,0.0169,4.984907627105713,,1.6220060586929321,,,
1994-10-31,-0.0018,0.003,0.0006,0.0014000000000000002,-0.0016,0.00018,0.0003,0.002,-0.0066,-0.0029,-0.0048,0.0011,0.0004,0.0033,-0.0004,0.0,-0.0015,-0.0024,4.989494800567627,,1.637453556060791,,,
1994-11-01,-0.0077,0.0028000000000000004,-0.0038,0.0034000000000000002,-0.0051,0.00018,-0.0032,0.0003,-0.0025,-0.0126,-0.011000000000000001,-0.0158,-0.0022,-0.0118,-0.0052,-0.0028000000000000004,-0.0101,-0.0069,4.948220729827881,,1.6281850337982178,,,
1994-11-02,-0.0024,0.0042,-0.0012,-0.0023,-0.0018,0.00018,-0.0013,-0.0006,-0.0040999999999999995,-0.0026,-0.0060999999999999995,-0.002,0.0029,-0.0049,0.0036,-0.004,0.001,-0.0025,4.925290107727051,,1.6250956058502197,,,
